state,city,county,date,fire_probability
Georgia,Baxley,Appling,2023-11-25,0.3939109
Georgia,Baxley,Appling,2023-11-26,0.31606367
Georgia,Baxley,Appling,2023-11-27,0.38175347
Georgia,Baxley,Appling,2023-11-28,0.49629346
Georgia,Baxley,Appling,2023-11-29,0.6325922
Georgia,Baxley,Appling,2023-11-30,0.59080964
Georgia,Baxley,Appling,2023-12-01,0.42239246
Georgia,Graham,Appling,2023-11-25,0.31584322
Georgia,Graham,Appling,2023-11-26,0.30820537
Georgia,Graham,Appling,2023-11-27,0.36607733
Georgia,Graham,Appling,2023-11-28,0.44964245
Georgia,Graham,Appling,2023-11-29,0.58388174
Georgia,Graham,Appling,2023-11-30,0.48485896
Georgia,Graham,Appling,2023-12-01,0.26279634
Georgia,Surrency,Appling,2023-11-25,0.49898842
Georgia,Surrency,Appling,2023-11-26,0.26288214
Georgia,Surrency,Appling,2023-11-27,0.4344421
Georgia,Surrency,Appling,2023-11-28,0.5365418
Georgia,Surrency,Appling,2023-11-29,0.6852005
Georgia,Surrency,Appling,2023-11-30,0.5960639
Georgia,Surrency,Appling,2023-12-01,0.49996853
Georgia,Axson,Atkinson,2023-11-25,0.52406245
Georgia,Axson,Atkinson,2023-11-26,0.16506578
Georgia,Axson,Atkinson,2023-11-27,0.1903974
Georgia,Axson,Atkinson,2023-11-28,0.49303308
Georgia,Axson,Atkinson,2023-11-29,0.6678522
Georgia,Axson,Atkinson,2023-11-30,0.3914043
Georgia,Axson,Atkinson,2023-12-01,0.27427557
Georgia,Pearson,Atkinson,2023-11-25,0.53645045
Georgia,Pearson,Atkinson,2023-11-26,0.18630783
Georgia,Pearson,Atkinson,2023-11-27,0.22849408
Georgia,Pearson,Atkinson,2023-11-28,0.4427271
Georgia,Pearson,Atkinson,2023-11-29,0.665096
Georgia,Pearson,Atkinson,2023-11-30,0.50646156
Georgia,Pearson,Atkinson,2023-12-01,0.31648198
Georgia,Willacoochee,Atkinson,2023-11-25,0.53966886
Georgia,Willacoochee,Atkinson,2023-11-26,0.2386081
Georgia,Willacoochee,Atkinson,2023-11-27,0.2448751
Georgia,Willacoochee,Atkinson,2023-11-28,0.5380728
Georgia,Willacoochee,Atkinson,2023-11-29,0.6847113
Georgia,Willacoochee,Atkinson,2023-11-30,0.55746603
Georgia,Willacoochee,Atkinson,2023-12-01,0.31062967
Georgia,Alma,Bacon,2023-11-25,0.32742414
Georgia,Alma,Bacon,2023-11-26,0.1912715
Georgia,Alma,Bacon,2023-11-27,0.33169758
Georgia,Alma,Bacon,2023-11-28,0.50963813
Georgia,Alma,Bacon,2023-11-29,0.6907304
Georgia,Alma,Bacon,2023-11-30,0.5598772
Georgia,Alma,Bacon,2023-12-01,0.32138166
Georgia,Rockingham,Bacon,2023-11-25,0.2716957
Georgia,Rockingham,Bacon,2023-11-26,0.18302874
Georgia,Rockingham,Bacon,2023-11-27,0.23390546
Georgia,Rockingham,Bacon,2023-11-28,0.49899346
Georgia,Rockingham,Bacon,2023-11-29,0.6784964
Georgia,Rockingham,Bacon,2023-11-30,0.53522515
Georgia,Rockingham,Bacon,2023-12-01,0.30859554
Georgia,Newton,Baker,2023-11-25,0.4629431
Georgia,Newton,Baker,2023-11-26,0.29393095
Georgia,Newton,Baker,2023-11-27,0.46544185
Georgia,Newton,Baker,2023-11-28,0.49125803
Georgia,Newton,Baker,2023-11-29,0.7013704
Georgia,Newton,Baker,2023-11-30,0.6656657
Georgia,Newton,Baker,2023-12-01,0.34198076
Georgia,Hardwick,Baldwin,2023-11-25,0.31975028
Georgia,Hardwick,Baldwin,2023-11-26,0.19494243
Georgia,Hardwick,Baldwin,2023-11-27,0.49584275
Georgia,Hardwick,Baldwin,2023-11-28,0.5775266
Georgia,Hardwick,Baldwin,2023-11-29,0.5457017
Georgia,Hardwick,Baldwin,2023-11-30,0.5066199
Georgia,Hardwick,Baldwin,2023-12-01,0.105297744
Georgia,Milledgeville,Baldwin,2023-11-25,0.51262337
Georgia,Milledgeville,Baldwin,2023-11-26,0.2500196
Georgia,Milledgeville,Baldwin,2023-11-27,0.5458276
Georgia,Milledgeville,Baldwin,2023-11-28,0.6430417
Georgia,Milledgeville,Baldwin,2023-11-29,0.62943894
Georgia,Milledgeville,Baldwin,2023-11-30,0.66016406
Georgia,Milledgeville,Baldwin,2023-12-01,0.16710414
Georgia,Alto,Banks,2023-11-25,0.11797523
Georgia,Alto,Banks,2023-11-26,0.024966456
Georgia,Alto,Banks,2023-11-27,0.30978107
Georgia,Alto,Banks,2023-11-28,0.42615357
Georgia,Alto,Banks,2023-11-29,0.49070626
Georgia,Alto,Banks,2023-11-30,0.5306301
Georgia,Alto,Banks,2023-12-01,0.065180026
Georgia,Homer,Banks,2023-11-25,0.22792445
Georgia,Homer,Banks,2023-11-26,0.058488287
Georgia,Homer,Banks,2023-11-27,0.47908995
Georgia,Homer,Banks,2023-11-28,0.42382786
Georgia,Homer,Banks,2023-11-29,0.5905021
Georgia,Homer,Banks,2023-11-30,0.6331853
Georgia,Homer,Banks,2023-12-01,0.04906942
Georgia,Auburn,Barrow,2023-11-25,0.087031014
Georgia,Auburn,Barrow,2023-11-26,0.045017038
Georgia,Auburn,Barrow,2023-11-27,0.31888774
